sequence,target,seg_id,speaker_id,dataset,speech_register
"[1, 4, 4, 1, 3, 4, 3, 1, 3, 4]",4,B-01_06_pass1_1167_15,B-01,IDSLabel-norm,IDS
"[4, 4, 1, 3, 4, 3, 1, 3, 4, 4]",4,B-01_06_pass1_1167_15,B-01,IDSLabel-norm,IDS
"[4, 1, 3, 4, 3, 1, 3, 4, 4, 4]",4,B-01_06_pass1_1167_15,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 1, 4, 4, 4, 4, 1, 3]",1,B-01_06_pass1_1167_22,B-01,IDSLabel-norm,IDS
"[4, 4, 1, 4, 4, 4, 4, 1, 3, 1]",4,B-01_06_pass1_1167_22,B-01,IDSLabel-norm,IDS
"[4, 1, 4, 4, 4, 4, 1, 3, 1, 4]",4,B-01_06_pass1_1167_22,B-01,IDSLabel-norm,IDS
"[1, 4, 4, 4, 4, 1, 3, 1, 4, 4]",1,B-01_06_pass1_1167_22,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 1, 4, 4]",4,B-01_06_pass1_1167_35,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 4, 4, 4, 1, 4, 4, 4]",4,B-01_06_pass1_1167_35,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 4, 4, 1, 4, 4, 4, 4]",1,B-01_06_pass1_1167_35,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 4, 1, 4, 4, 4, 4, 1]",4,B-01_06_pass1_1167_35,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 1, 4, 4, 4, 4, 1, 4]",4,B-01_06_pass1_1167_35,B-01,IDSLabel-norm,ADS
"[4, 4, 1, 4, 4, 4, 4, 1, 4, 4]",1,B-01_06_pass1_1167_35,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",1,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 1]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 1, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 1, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 1, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 1, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 1, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 1, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 1, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 1, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_4,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 1, 4, 4, 1, 4, 4]",4,B-01_06_pass1_1167_8,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 1, 4, 4, 1, 4, 4, 4]",4,B-01_06_pass1_1167_8,B-01,IDSLabel-norm,IDS
"[4, 4, 1, 4, 4, 1, 4, 4, 4, 4]",4,B-01_06_pass1_1167_8,B-01,IDSLabel-norm,IDS
"[4, 1, 4, 4, 1, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_8,B-01,IDSLabel-norm,IDS
"[1, 4, 4, 1, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_1167_8,B-01,IDSLabel-norm,IDS
"[4, 4, 1, 4, 4, 4, 4, 4, 4, 4]",1,B-01_06_pass1_1167_8,B-01,IDSLabel-norm,IDS
"[4, 1, 4, 4, 4, 4, 4, 4, 4, 1]",1,B-01_06_pass1_1167_8,B-01,IDSLabel-norm,IDS
"[1, 4, 4, 4, 4, 4, 4, 4, 1, 1]",4,B-01_06_pass1_1167_8,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 1, 1, 4]",4,B-01_06_pass1_1167_8,B-01,IDSLabel-norm,IDS
"[1, 1, 4, 4, 1, 4, 4, 4, 1, 1]",4,B-01_06_pass1_151_20,B-01,IDSLabel-norm,ADS
"[1, 4, 4, 1, 4, 4, 4, 1, 1, 4]",4,B-01_06_pass1_151_20,B-01,IDSLabel-norm,ADS
"[4, 4, 1, 4, 4, 4, 1, 1, 4, 4]",4,B-01_06_pass1_151_20,B-01,IDSLabel-norm,ADS
"[4, 1, 4, 4, 4, 1, 1, 4, 4, 4]",4,B-01_06_pass1_151_20,B-01,IDSLabel-norm,ADS
"[1, 4, 4, 4, 1, 1, 4, 4, 4, 4]",3,B-01_06_pass1_151_20,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 1, 1, 4, 4, 4, 4, 3]",4,B-01_06_pass1_151_20,B-01,IDSLabel-norm,ADS
"[4, 4, 1, 1, 4, 4, 4, 4, 3, 4]",1,B-01_06_pass1_151_20,B-01,IDSLabel-norm,ADS
"[4, 1, 1, 4, 4, 4, 4, 3, 4, 1]",1,B-01_06_pass1_151_20,B-01,IDSLabel-norm,ADS
"[1, 1, 4, 4, 4, 4, 3, 4, 1, 1]",1,B-01_06_pass1_151_20,B-01,IDSLabel-norm,ADS
"[1, 4, 4, 4, 4, 3, 4, 1, 1, 1]",4,B-01_06_pass1_151_20,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 4, 3, 4, 1, 1, 1, 4]",4,B-01_06_pass1_151_20,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 3, 4, 1, 1, 1, 4, 4]",4,B-01_06_pass1_151_20,B-01,IDSLabel-norm,ADS
"[4, 4, 3, 4, 1, 1, 1, 4, 4, 4]",4,B-01_06_pass1_151_20,B-01,IDSLabel-norm,ADS
"[4, 3, 4, 1, 1, 1, 4, 4, 4, 4]",4,B-01_06_pass1_151_20,B-01,IDSLabel-norm,ADS
"[3, 4, 1, 1, 1, 4, 4, 4, 4, 4]",4,B-01_06_pass1_151_20,B-01,IDSLabel-norm,ADS
"[4, 1, 1, 1, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_151_20,B-01,IDSLabel-norm,ADS
"[1, 1, 1, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_151_20,B-01,IDSLabel-norm,ADS
"[1, 1, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_151_20,B-01,IDSLabel-norm,ADS
"[1, 5, 4, 4, 3, 1, 4, 4, 4, 4]",1,B-01_06_pass1_151_22,B-01,IDSLabel-norm,ADS
"[5, 4, 4, 3, 1, 4, 4, 4, 4, 1]",4,B-01_06_pass1_151_22,B-01,IDSLabel-norm,ADS
"[5, 3, 1, 1, 5, 2, 3, 1, 4, 4]",4,B-01_06_pass1_151_37,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 4, 4, 4, 1, 4, 4, 4]",4,B-01_06_pass1_151_43,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 4, 4, 1, 4, 4, 4, 4]",3,B-01_06_pass1_151_43,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 4, 1, 4, 4, 4, 4, 3]",4,B-01_06_pass1_151_43,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 1, 4, 4, 4, 4, 3, 4]",1,B-01_06_pass1_151_43,B-01,IDSLabel-norm,ADS
"[4, 4, 1, 4, 4, 4, 4, 3, 4, 1]",1,B-01_06_pass1_151_43,B-01,IDSLabel-norm,ADS
"[4, 1, 4, 4, 4, 4, 3, 4, 1, 1]",4,B-01_06_pass1_151_43,B-01,IDSLabel-norm,ADS
"[1, 4, 4, 4, 4, 3, 4, 1, 1, 4]",4,B-01_06_pass1_151_43,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 4, 3, 4, 1, 1, 4, 4]",4,B-01_06_pass1_151_43,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 3, 4, 1, 1, 4, 4, 4]",4,B-01_06_pass1_151_43,B-01,IDSLabel-norm,ADS
"[4, 4, 3, 4, 1, 1, 4, 4, 4, 4]",4,B-01_06_pass1_151_43,B-01,IDSLabel-norm,ADS
"[4, 3, 4, 1, 1, 4, 4, 4, 4, 4]",4,B-01_06_pass1_151_43,B-01,IDSLabel-norm,ADS
"[3, 4, 1, 1, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_151_43,B-01,IDSLabel-norm,ADS
"[4, 1, 1, 4, 4, 4, 4, 4, 4, 4]",1,B-01_06_pass1_151_43,B-01,IDSLabel-norm,ADS
"[1, 1, 4, 4, 4, 4, 4, 4, 4, 1]",1,B-01_06_pass1_151_43,B-01,IDSLabel-norm,ADS
"[1, 4, 4, 4, 4, 4, 4, 4, 1, 1]",4,B-01_06_pass1_151_43,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 4, 4, 4, 4, 1, 1, 4]",4,B-01_06_pass1_151_43,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 4, 4, 4, 1, 1, 4, 4]",4,B-01_06_pass1_151_43,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 4, 4, 1, 1, 4, 4, 4]",4,B-01_06_pass1_151_43,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 4, 1, 1, 4, 4, 4, 4]",4,B-01_06_pass1_151_43,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 1, 1, 4, 4, 4, 4, 4]",4,B-01_06_pass1_151_43,B-01,IDSLabel-norm,ADS
"[3, 5, 4, 3, 1, 4, 1, 3, 1, 1]",3,B-01_06_pass1_151_50,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 4, 4, 4, 4, 1, 4, 4]",4,B-01_06_pass1_23_1,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 4, 4, 4, 1, 4, 4, 4]",4,B-01_06_pass1_23_1,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 4, 4, 1, 4, 4, 4, 4]",1,B-01_06_pass1_23_1,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 4, 1, 4, 4, 4, 4, 1]",4,B-01_06_pass1_23_1,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 1, 4, 4, 4, 4, 1, 4]",4,B-01_06_pass1_23_1,B-01,IDSLabel-norm,ADS
"[4, 4, 1, 4, 4, 4, 4, 1, 4, 4]",1,B-01_06_pass1_23_1,B-01,IDSLabel-norm,ADS
"[4, 1, 4, 4, 4, 4, 1, 4, 4, 1]",4,B-01_06_pass1_23_1,B-01,IDSLabel-norm,ADS
"[1, 4, 4, 4, 4, 1, 4, 4, 1, 4]",4,B-01_06_pass1_23_1,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 4, 1, 4, 4, 1, 4, 4]",4,B-01_06_pass1_23_1,B-01,IDSLabel-norm,ADS
"[4, 4, 4, 1, 4, 4, 1, 4, 4, 4]",1,B-01_06_pass1_23_1,B-01,IDSLabel-norm,ADS
"[4, 4, 1, 4, 4, 1, 4, 4, 4, 1]",4,B-01_06_pass1_23_1,B-01,IDSLabel-norm,ADS
"[4, 1, 4, 4, 1, 4, 4, 4, 1, 4]",4,B-01_06_pass1_23_1,B-01,IDSLabel-norm,ADS
"[1, 4, 4, 1, 4, 4, 4, 1, 4, 4]",1,B-01_06_pass1_23_1,B-01,IDSLabel-norm,ADS
"[4, 4, 1, 4, 4, 4, 1, 4, 4, 1]",3,B-01_06_pass1_23_1,B-01,IDSLabel-norm,ADS
"[4, 1, 4, 4, 4, 1, 4, 4, 1, 3]",4,B-01_06_pass1_23_1,B-01,IDSLabel-norm,ADS
"[6, 2, 1, 1, 4, 4, 1, 4, 4, 4]",4,B-01_06_pass1_23_11,B-01,IDSLabel-norm,ADS
"[4, 1, 4, 4, 1, 3, 1, 4, 1, 3]",1,B-01_06_pass1_23_15,B-01,IDSLabel-norm,ADS
"[4, 3, 5, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_295_1,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 1, 3, 6, 2]",1,B-01_06_pass1_295_15,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 1, 3, 6, 2, 1]",4,B-01_06_pass1_295_15,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 1, 3, 6, 2, 1, 4]",4,B-01_06_pass1_295_15,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 1, 3, 6, 2, 1, 4, 4]",4,B-01_06_pass1_295_15,B-01,IDSLabel-norm,IDS
"[4, 4, 1, 3, 6, 2, 1, 4, 4, 4]",1,B-01_06_pass1_295_15,B-01,IDSLabel-norm,IDS
"[4, 1, 3, 6, 2, 1, 4, 4, 4, 1]",1,B-01_06_pass1_295_15,B-01,IDSLabel-norm,IDS
"[1, 3, 6, 2, 1, 4, 4, 4, 1, 1]",1,B-01_06_pass1_295_15,B-01,IDSLabel-norm,IDS
"[3, 6, 2, 1, 4, 4, 4, 1, 1, 1]",1,B-01_06_pass1_295_15,B-01,IDSLabel-norm,IDS
"[6, 2, 1, 4, 4, 4, 1, 1, 1, 1]",4,B-01_06_pass1_295_15,B-01,IDSLabel-norm,IDS
"[2, 1, 4, 4, 4, 1, 1, 1, 1, 4]",3,B-01_06_pass1_295_15,B-01,IDSLabel-norm,IDS
"[2, 3, 5, 4, 3, 4, 4, 1, 4, 4]",4,B-01_06_pass1_295_20,B-01,IDSLabel-norm,IDS
"[4, 4, 1, 4, 4, 4, 4, 4, 4, 4]",3,B-01_06_pass1_295_24,B-01,IDSLabel-norm,IDS
"[4, 1, 4, 4, 4, 4, 4, 4, 4, 3]",4,B-01_06_pass1_295_24,B-01,IDSLabel-norm,IDS
"[1, 4, 4, 4, 4, 4, 4, 4, 3, 4]",3,B-01_06_pass1_295_24,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 3, 4, 3]",1,B-01_06_pass1_295_24,B-01,IDSLabel-norm,IDS
"[2, 4, 4, 4, 1, 4, 4, 4, 1, 4]",1,B-01_06_pass1_295_26,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 1, 4, 4, 4, 1, 4, 1]",3,B-01_06_pass1_295_26,B-01,IDSLabel-norm,IDS
"[4, 4, 1, 4, 4, 4, 1, 4, 1, 3]",4,B-01_06_pass1_295_26,B-01,IDSLabel-norm,IDS
"[5, 1, 4, 1, 4, 1, 4, 4, 4, 1]",4,B-01_06_pass1_295_31,B-01,IDSLabel-norm,IDS
"[1, 4, 1, 4, 1, 4, 4, 4, 1, 4]",4,B-01_06_pass1_295_31,B-01,IDSLabel-norm,IDS
"[4, 1, 4, 1, 4, 4, 4, 1, 4, 4]",1,B-01_06_pass1_295_31,B-01,IDSLabel-norm,IDS
"[1, 4, 1, 4, 4, 4, 1, 4, 4, 1]",1,B-01_06_pass1_295_31,B-01,IDSLabel-norm,IDS
"[4, 1, 3, 1, 4, 1, 4, 1, 4, 1]",4,B-01_06_pass1_295_38,B-01,IDSLabel-norm,IDS
"[1, 3, 1, 4, 1, 4, 1, 4, 1, 4]",4,B-01_06_pass1_295_38,B-01,IDSLabel-norm,IDS
"[3, 1, 4, 1, 4, 1, 4, 1, 4, 4]",4,B-01_06_pass1_295_38,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 1, 5, 3, 4, 4]",4,B-01_06_pass1_295_43,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 1, 4]",4,B-01_06_pass1_345_11,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 1, 4, 4]",4,B-01_06_pass1_345_11,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 1, 4, 4, 4]",4,B-01_06_pass1_345_11,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 1, 4, 4, 4, 4]",4,B-01_06_pass1_345_11,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 1, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_11,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 1, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_11,B-01,IDSLabel-norm,IDS
"[4, 4, 1, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_11,B-01,IDSLabel-norm,IDS
"[4, 1, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_11,B-01,IDSLabel-norm,IDS
"[1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_11,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_11,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_11,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_11,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_11,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_11,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_11,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_11,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_11,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_11,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_11,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_11,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_11,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_11,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_11,B-01,IDSLabel-norm,IDS
"[1, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_13,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_13,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_13,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_13,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_13,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_13,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_13,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_13,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_13,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_13,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_13,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_13,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_13,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_13,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_13,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_13,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_13,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_13,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_13,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_13,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_13,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_13,B-01,IDSLabel-norm,IDS
"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4,B-01_06_pass1_345_13,B-01,IDSLabel-norm,IDS
